MonthlyCharges,Contract,Churn
-1.1602405389153665,0.0,No
-0.2596105095894619,1.0,No
-0.3626346088850451,0.0,Yes
-0.7464824627121373,1.0,No
0.1973512211570761,0.0,Yes
1.159463374256151,0.0,Yes
0.8088491008469887,0.0,No
-1.1635638969571591,0.0,No
1.3306163134084903,0.0,Yes
-0.2861973739238061,1.0,No
-0.4922455725149722,0.0,No
-1.5224865654708035,2.0,No
1.1827268805487017,1.0,No
1.2940593749487677,0.0,Yes
1.3538798197010415,0.0,No
1.6114400679399994,2.0,No
-1.4659894787603227,1.0,No
1.3937601162025577,2.0,No
-0.3177692753208395,0.0,Yes
0.8404210022440223,0.0,No
-0.8345514508196519,0.0,Yes
-1.4942380221155631,1.0,No
-1.4826062689692876,0.0,Yes
-0.1615714473565684,2.0,No
-0.1715415214819473,0.0,No
-0.3144459172790467,0.0,No
1.1494933001307717,0.0,Yes
-1.1486087857690903,0.0,Yes
0.8470677183276084,2.0,No
-0.002050261350504,0.0,Yes
1.0497925588769814,2.0,No
1.0215440155217412,0.0,No
0.0461384302554945,1.0,No
-1.480944589948391,0.0,No
-0.6484434004792435,0.0,No
1.1677717693606335,2.0,No
0.1641176407391461,0.0,Yes
0.3336089008705891,0.0,No
1.382128363056282,0.0,Yes
1.0996429295038763,0.0,Yes
-0.5055390046821444,1.0,No
0.1475008505301811,2.0,No
-1.4626661207185296,1.0,No
0.5014384819811358,2.0,No
0.3801359134556914,0.0,No
0.6559746309245107,0.0,No
-0.5155090788075234,0.0,No
0.5280253463154801,0.0,Yes
0.498115123939343,2.0,No
-0.0203287305803655,2.0,No
0.8470677183276084,0.0,No
1.1411849050262892,0.0,Yes
0.15747092465556,0.0,No
0.5280253463154801,0.0,Yes
0.3352705798914855,1.0,No
1.0198823365008447,0.0,Yes
1.159463374256151,1.0,No
1.4519188819339353,1.0,No
-1.3230850829632232,2.0,No
1.4203469805369018,2.0,No
1.1877119176113913,0.0,No
0.8354359651813331,0.0,No
-0.7531291787957232,2.0,No
-0.3443561396551837,1.0,No
0.9849870770620184,0.0,Yes
0.3502256910795542,0.0,No
0.4698665805841026,1.0,No
0.4798366547094815,2.0,No
-1.4826062689692876,2.0,No
0.5014384819811358,0.0,No
-0.5221557948911094,0.0,No
-1.4742978738648052,1.0,No
1.5566046602504149,2.0,No
-1.3463485892557745,2.0,No
-0.0086969774340902,0.0,No
1.5200477217906918,1.0,No
-0.3028141641327711,1.0,No
-0.3360477445507012,0.0,No
0.3319472218496927,0.0,No
-1.29151318156619,1.0,No
0.4848216917721707,0.0,Yes
-0.4723054242642144,0.0,No
0.3452406540168649,0.0,Yes
1.2973827329905605,0.0,No
-1.4826062689692876,2.0,No
1.1478316211098751,0.0,No
-0.0867958914162258,1.0,No
-1.4659894787603227,2.0,No
-1.4892529850528735,2.0,No
-1.030629575285439,0.0,No
0.574552358900582,0.0,No
0.3302855428287963,0.0,No
0.6393578407155457,2.0,No
1.5383261910205532,0.0,No
1.2010053497785635,2.0,No
0.471528259604999,0.0,Yes
0.0694019365480452,1.0,No
-1.4526960465931509,0.0,Yes
-1.4543577256140472,2.0,No
1.1212447567755313,0.0,Yes
-1.480944589948391,0.0,No
-1.5058697752618386,0.0,No
1.004927225312776,1.0,No
-0.6384733263538647,1.0,No
1.5034309315817267,2.0,Yes
-1.344686910234878,0.0,No
1.3090144861368362,1.0,No
-1.1502704647899873,1.0,No
0.9833253980411214,1.0,No
-1.5075314542827352,2.0,No
1.0630859910441537,0.0,Yes
-0.2263769291715319,1.0,No
0.8935947309127107,0.0,No
0.3901059875810703,0.0,Yes
-0.3377094235715976,2.0,No
0.8337742861604363,0.0,No
-1.1203602424138503,2.0,No
1.1794035225069088,0.0,Yes
-1.4659894787603227,2.0,No
0.6792381372170618,0.0,No
1.1644484113188402,1.0,No
-1.464327799739426,0.0,No
0.3203154687034174,0.0,Yes
-0.4673203872015247,0.0,No
-1.4593427626767366,0.0,No
0.8038640637842994,2.0,No
0.4416180372288618,0.0,Yes
-1.3696120955483255,2.0,No
-1.4958997011364596,0.0,No
-0.276227299798427,1.0,No
0.7041633225305093,0.0,No
-0.2047751018998774,0.0,Yes
-0.4723054242642144,2.0,No
-0.9741324885749578,0.0,Yes
-0.6783536228553805,0.0,Yes
-1.298159897649776,2.0,No
0.3402556169541753,0.0,No
-1.480944589948391,2.0,No
-1.500884738199149,2.0,No
0.1890428260525936,0.0,Yes
0.7739538414081623,2.0,No
0.2123063323451448,0.0,Yes
1.2059903868412527,2.0,No
0.6493279148409246,1.0,No
-1.3563186633811537,2.0,No
1.139523226005393,2.0,No
